num_rooms,num_people,housearea,is_ac,is_tv,is_flat,num_children,is_urban,units
2,4,912.5,1,1,0,0,0,131.6106138
2,8,592.68,1,1,1,1,1,143.6392302
-1,5,697.17,0,1,1,2,1,148.2583907
2,4,631.85,1,1,0,0,0,107.1450684
3,7,627.3,0,1,0,0,1,107.3397644
2,5,686,0,1,0,2,1,141.4378284
4,2,755.81,1,1,0,2,0,168.8121076
3,2,875.98,0,1,0,2,0,128.5124431
1,5,729.06,1,1,0,1,1,152.0660987
2,3,698.35,0,0,0,2,0,72.71423255
2,5,621.6,1,1,0,1,0,101.2401816
3,9,1123.53,0,1,1,0,1,116.1854258
3,5,486.17,0,1,0,0,0,47.72006257
3,10,810.5,0,1,1,1,1,147.9912085
2,6,750.76,1,1,0,2,1,144.7810037
2,4,1000.26,1,1,1,0,0,102.1433807
0,8,758,1,1,0,0,0,105.7038674
2,3,700.37,0,1,1,3,1,150.646249
3,5,674.38,0,1,0,0,1,107.6239378
2,4,1021.58,0,1,1,2,0,102.1821068
3,4,773.05,0,1,0,0,1,102.6615486
2,8,969.13,1,1,0,1,0,105.6734035
1,7,580.33,0,1,0,1,0,113.4619477
1,4,751.24,0,1,1,2,1,150.4604652
1,9,835.06,0,1,1,2,1,140.5401972
1,2,984.48,1,1,1,2,1,151.0922752
1,6,900.96,0,1,0,1,1,127.8524261
2,4,701.95,0,1,1,2,1,149.5991016
1,6,719.2,0,1,0,1,1,113.9296129
2,4,742.02,1,1,0,1,0,145.0395151
2,3,776.74,1,1,1,1,1,151.5613526
3,2,651.79,0,1,0,0,1,110.0159481
2,6,824.89,1,1,1,0,1,129.8095707
-1,2,638.39,0,1,0,2,1,130.5707664
2,5,1076.14,0,1,1,2,0,134.2358291
3,7,579.55,1,1,1,0,0,110.0327634
2,4,777.33,0,1,0,1,1,134.1614966
2,0,549.85,0,0,0,2,1,122.5725992
1,6,764.09,1,0,1,2,0,145.4937745
2,6,879.51,1,1,1,0,0,101.577725
2,6,671.88,0,0,1,1,1,116.63031
2,7,887.91,1,1,0,0,1,136.7187983
3,4,699.8,0,1,1,0,1,107.8775302
1,6,850.87,1,1,0,0,1,127.6829209
1,11,946.74,0,1,1,2,1,137.3711717
3,7,549.72,0,1,1,1,0,133.8525097
0,5,755.03,0,1,0,1,0,62.9679425
2,6,828.63,1,1,1,2,1,150.6120386
1,5,323.95,0,1,0,1,1,109.3952239
3,6,683.29,0,1,1,1,0,122.1132708
2,5,557.23,0,0,0,0,0,47.37190252
2,4,683.02,1,1,1,1,0,145.7050728
4,4,840.2,1,1,0,0,1,127.8020862
1,8,970.75,0,1,0,0,0,88.45385601
3,2,929.79,1,0,1,2,0,157.4502307
1,5,692.13,0,1,0,2,0,117.8167532
1,1,878.83,0,1,0,1,0,89.35371519
3,7,572.78,1,1,1,1,0,123.5404153
2,4,840.06,0,1,1,2,1,143.5689938
2,2,765.99,0,1,0,2,0,113.0948645
2,6,627.91,1,1,1,3,0,197.9876188
3,6,884.14,1,1,1,0,0,147.4733658
3,6,776.99,1,1,0,1,0,124.3387801
2,8,567.36,1,1,1,1,1,158.1134277
1,5,870.71,0,1,1,3,1,147.5867017
2,4,1177.7,1,1,1,3,1,169.0247626
1,5,950.5,0,1,1,0,0,99.69126464
1,2,817.61,0,1,0,1,1,123.9165125
1,7,658.86,0,1,1,1,0,128.4078406
3,7,764.33,0,1,1,2,0,137.120917
3,2,1005.38,1,1,1,1,1,140.4268094
1,3,968.28,0,1,0,2,1,147.952535
2,3,800.96,0,1,0,2,0,109.4585588
2,3,564.17,1,1,1,0,1,122.426509
1,5,752.39,0,1,1,1,1,119.8560598
2,4,771.59,0,1,1,1,1,121.3911617
2,4,1069.32,0,1,0,1,1,131.9755668
3,5,836.5,0,1,1,2,1,153.8253515
3,5,934.82,0,1,0,0,1,120.3946516
2,3,760.75,0,1,0,3,0,131.1559138
1,7,665.07,0,1,0,1,1,118.2174835
1,4,704.72,0,0,0,1,1,108.8195637
4,-1,1058.32,1,0,0,4,0,143.975525
2,4,883.45,0,0,0,2,0,89.5297538
1,6,626.75,0,1,0,3,0,110.0425474
2,5,635.28,0,1,0,1,1,117.1038403
1,5,574.3,0,1,0,0,1,99.82880133
1,3,813.06,1,1,1,2,1,159.631575
2,7,911.98,0,1,0,2,1,145.4351061
2,4,880.15,0,1,0,2,1,123.2730389
2,7,931.86,0,1,0,0,1,118.0817977
2,6,809.69,0,1,0,1,0,74.85964659
2,3,786.46,0,1,0,3,0,112.3746642
-1,8,801.48,1,1,0,2,1,166.0414802
1,4,748.04,1,1,1,0,0,91.84208224
1,5,670.5,1,0,1,2,0,127.0800572
2,6,548.96,0,1,0,2,0,116.7640985
2,5,569.94,0,0,1,1,1,116.5573061
2,3,731.05,0,1,1,1,0,115.2778514
1,4,1035.94,1,1,0,1,1,148.7790227
1,1,799.66,0,0,0,1,0,66.63057611
2,5,843.85,0,1,0,0,0,73.79713913
2,6,928.7,0,1,1,1,1,145.1825888
2,9,856.5,0,1,0,1,1,113.6535723
1,5,767.79,0,1,0,0,0,44.09863543
2,7,996.66,1,1,0,0,1,123.5057509
4,8,795.46,1,0,0,1,1,142.2300432
4,9,678.47,0,0,0,2,1,134.4830971
2,8,861.31,1,1,0,1,0,153.8905408
3,5,819.68,1,0,0,0,1,119.4437182
0,3,766.53,0,1,1,1,0,72.22114995
4,2,834.13,1,1,0,0,0,108.9172861
3,0,618.91,1,1,0,0,1,134.7539754
1,4,942.95,0,0,0,1,1,127.5112456
1,6,1002.71,0,1,1,2,0,101.1626443
2,8,834.85,0,1,1,0,0,72.81103702
2,7,868.06,1,0,0,0,1,115.166601
1,5,684.37,1,0,1,0,1,117.5396342
1,4,691.12,1,1,0,0,1,133.3831002
4,4,801.12,0,1,0,2,1,121.9668936
2,7,825.89,0,1,0,0,1,113.0844999
0,5,606.3,1,1,1,1,0,134.3131342
2,7,1046.44,0,1,1,1,1,124.9852057
1,3,550.83,0,1,0,2,1,119.4861577
2,2,670.35,0,1,1,2,1,129.7685189
2,3,800.93,1,1,1,0,1,139.4169524
2,6,881.87,1,1,0,0,1,136.1281858
3,5,772.83,0,1,1,0,1,128.4262868
1,3,730.49,0,0,0,1,1,114.8873441
0,4,844.57,1,1,0,1,1,156.142393
4,2,737.62,1,1,1,3,1,173.3259288
2,6,643.98,0,0,1,0,1,103.4276541
1,5,587.1,0,0,1,1,1,112.6133593
3,9,681.31,0,0,1,1,0,87.35426058
0,4,857.96,0,1,0,0,0,72.15424993
3,6,792.56,0,1,0,2,1,147.676558
1,3,938.51,1,1,0,2,0,119.0150156
3,6,865.67,0,1,1,0,0,94.62080038
3,5,1087.35,0,1,0,1,1,128.9595589
3,8,669.97,0,1,0,1,1,115.3731485
1,5,635.28,0,1,1,1,0,115.8474833
1,4,608.51,0,1,0,2,1,143.208995
2,9,937.63,0,1,1,2,1,150.5698427
2,5,904.92,1,1,0,0,1,134.9534729
1,7,788.73,0,1,1,0,1,130.750352
2,1,939.97,0,0,1,1,0,93.10656185
1,6,895.91,0,0,0,1,0,53.41941421
2,4,690.85,1,1,1,0,1,147.8193312
1,5,888.32,0,1,1,1,1,121.5595218
2,4,549.95,0,1,0,1,1,121.9127647
0,5,1046.68,1,0,1,1,1,146.2911851
4,4,869.29,0,1,0,1,1,112.9698645
3,3,927.71,0,1,1,0,1,118.8512877
2,3,1102.5,0,1,1,1,0,98.3471343
1,5,1031.06,1,1,0,3,1,179.2770143
3,3,769.77,0,1,0,2,0,129.0430779
1,5,658.94,0,1,1,2,1,148.4209356
3,4,660.55,0,1,1,0,1,123.2144867
2,7,664.49,1,1,0,1,0,141.846585
1,6,701.3,0,1,0,0,0,60.32002846
2,5,963.07,0,1,0,2,0,118.7545452
3,5,993.23,0,1,0,1,1,140.1007939
2,7,974.28,1,0,1,0,1,125.0180914
2,3,731.11,0,1,1,0,0,58.94815885
4,1,862.33,0,1,0,1,0,65.59255442
1,2,708.64,1,1,0,1,0,135.1094932
1,5,612.54,0,0,1,2,0,106.27809
1,7,840.81,0,0,0,0,0,54.43645255
1,2,680.57,1,1,1,0,1,123.3912104
2,8,790.51,1,1,0,1,1,159.206513
0,6,979.89,1,1,0,3,1,160.3507068
2,4,972.95,0,1,1,3,1,149.7249505
3,2,676.98,0,1,0,2,1,135.0641863
2,3,581.22,0,1,0,1,1,117.7719611
3,5,1166.71,1,1,1,1,1,161.8593381
2,2,924.17,0,1,0,0,0,67.24611524
2,4,996.35,1,1,1,1,0,137.3120387
3,6,1097.89,0,1,1,2,1,134.7832894
2,6,548.8,0,1,0,2,0,130.7537063
3,7,981.26,0,1,1,3,1,144.0256013
0,4,904.53,1,1,1,0,0,140.2018792
2,4,835.05,1,1,1,0,1,145.4064757
3,6,786.93,0,1,1,0,1,117.2700631
0,4,1185.36,0,1,1,0,1,128.9090156
2,4,534.15,1,1,0,1,1,131.4332582
2,6,700.94,1,1,0,0,1,131.0271612
2,6,662.82,0,1,1,2,1,128.2014405
2,7,860.15,0,1,0,2,0,122.3627786
4,7,709.59,0,1,1,1,0,84.32964529
0,9,843.85,0,0,1,1,1,118.3381826
1,6,948.47,0,1,0,2,0,113.9846527
2,6,750.79,0,1,1,3,1,157.0622288
3,3,571.3,0,1,0,0,0,70.84031671
3,5,942.5,1,0,1,0,0,96.32844555
2,1,560.7,1,1,0,1,0,109.8227286
1,6,701.89,0,1,1,0,0,87.98374238
3,5,1074.9,0,0,1,1,0,74.35289067
1,7,892.85,0,1,1,1,0,89.87330459
1,8,848.04,0,1,1,1,1,133.2043818
2,4,749.44,0,1,1,2,0,116.1315743
3,7,754.59,1,1,0,1,0,125.6838505
1,4,821.37,0,0,1,0,1,104.1758818
3,7,916.95,0,1,1,2,1,143.9270405
2,6,898.26,1,1,1,0,0,126.090947
2,5,593.12,1,1,1,1,1,143.7051846
3,2,752.36,0,1,1,3,0,146.4122552
1,3,757.73,1,1,0,2,1,160.4569682
4,8,635.78,0,1,1,0,0,103.9264508
3,6,676.79,0,0,1,1,1,119.0895457
3,7,827.01,0,1,1,0,0,103.9104224
2,7,606.43,1,1,0,2,1,152.3614284
0,1,557.07,1,1,1,1,1,146.090653
1,4,942.08,0,1,1,1,1,123.1749058
1,6,833.6,0,1,0,0,1,114.6863821
2,8,813.67,1,1,1,2,0,149.4467654
2,6,361.13,0,0,1,1,0,106.2196945
2,5,711.94,0,1,1,1,0,100.6029451
1,7,696.3,0,1,0,1,1,112.7624898
2,6,599.88,0,1,1,0,1,107.9876627
1,7,661.46,0,1,1,1,0,106.7957447
3,6,704.81,0,1,0,0,0,45.53727308
2,4,828.85,0,1,0,2,0,91.97810041
2,7,915.66,0,1,0,0,1,100.8411939
0,4,906.78,0,1,0,2,1,145.297064
3,4,916.19,1,1,0,2,1,167.4572615
3,8,631.54,0,1,1,1,1,140.6086214
1,4,802.95,0,1,0,1,0,98.63140853
2,1,597.39,1,1,0,1,1,142.2238681
3,9,744.67,1,1,1,1,1,144.639315
0,2,840.99,1,1,1,2,0,159.5757546
1,6,1066.39,1,0,1,1,1,139.7022489
3,5,820.39,0,1,1,2,1,144.4899619
3,7,824.91,1,0,0,3,1,162.3928069
0,2,702.84,0,0,1,0,1,105.6071533
2,2,653.43,1,0,1,1,1,142.2194074
2,5,663.28,0,1,1,1,1,127.4553704
0,5,780.22,0,1,1,2,1,148.3640031
2,6,911.58,1,0,1,1,0,114.2013797
2,5,244.4,1,0,1,2,1,153.3837718
2,5,674.53,0,1,0,0,0,39.27037774
3,5,1019.52,1,1,1,1,1,141.1611836
1,1,515.34,0,1,1,0,1,103.7497644
1,5,584.85,0,0,0,0,1,101.3465068
4,7,900.39,1,1,0,1,1,156.489641
4,6,829.15,1,1,0,2,1,150.2104047
2,4,814.28,0,1,0,1,0,100.66905
1,8,895.34,1,1,0,1,0,128.0580773
2,6,911.72,1,1,1,0,1,151.8019621
4,7,770.68,1,0,0,0,1,135.3934851
1,3,824.05,0,1,0,3,1,144.1003659
5,3,750.58,0,0,0,0,1,101.1943966
1,9,835.59,0,1,0,0,1,118.6956542
1,2,791.78,1,1,0,2,1,156.3661432
3,5,879.29,1,1,0,3,0,180.0214435
0,4,1116.41,0,1,1,3,0,140.7637282
2,3,698.84,0,0,0,1,1,101.5225717
2,5,842.02,0,1,1,2,1,150.7858767
2,6,787.1,0,1,1,4,0,193.1498548
4,3,720.31,1,0,1,2,1,152.2148488
3,5,773.66,1,0,1,0,1,142.4082742
2,2,1075.89,0,0,1,0,0,86.00587998
2,4,772.33,0,0,0,2,1,112.6538559
2,5,662.58,0,1,1,1,1,143.9669153
1,8,843.47,1,1,1,0,1,142.4129214
3,6,551.32,0,1,0,1,0,89.23957075
1,5,831.82,1,1,1,0,0,113.4358287
1,4,870.57,0,1,0,1,1,110.7156305
2,7,786.06,0,1,0,2,1,128.1825413
2,9,759.64,1,1,1,1,0,152.8644526
2,6,520.46,0,1,0,3,1,155.8223308
2,7,811.63,0,1,1,2,1,133.6511518
2,5,974.83,1,1,0,2,1,168.0339404
1,5,836.06,1,0,0,0,0,60.84320315
1,5,812.24,1,1,1,0,1,145.5437244
1,8,1055.17,1,1,0,1,0,130.0045916
3,11,555.62,0,0,1,0,1,106.3895682
2,10,1064.73,0,1,1,1,0,109.5629847
2,5,771.82,0,1,1,2,1,155.94651
1,6,801.99,0,1,1,1,0,78.34391553
3,6,730.36,0,1,1,1,1,139.135445
2,6,753.22,1,1,0,0,1,121.2463844
1,4,877.23,0,1,1,1,1,133.7520146
4,5,762.6,0,0,1,0,0,81.15871183
2,5,778.5,0,1,0,2,0,118.481649
3,7,725.84,0,1,1,2,0,119.5947736
2,1,661.54,1,1,1,0,1,139.495139
2,4,504.24,0,1,0,1,0,63.68355099
2,4,825.94,1,0,1,2,0,118.4122902
1,3,634.29,1,1,0,0,1,122.7819386
2,2,736.14,1,1,1,0,0,124.2094816
3,1,851.93,0,0,0,1,1,117.0660878
1,7,528.29,1,1,1,0,1,141.5449243
2,4,586.48,0,1,1,0,1,123.7514434
0,6,620.29,1,0,0,1,1,139.5983914
1,8,957.95,0,1,0,2,1,145.5161574
2,5,583.22,1,1,0,1,0,146.5911519
3,7,729.7,1,1,0,0,1,129.7554867
2,10,606.2,1,1,1,1,0,129.8428368
3,7,601.03,0,1,1,1,1,134.7569979
1,7,935.01,0,1,1,2,0,143.9989752
2,8,652.2,1,0,0,3,0,127.4795844
3,4,743.58,0,1,1,0,1,109.2081221
1,6,889.06,0,1,1,1,0,74.24021483
4,6,681.32,1,1,0,1,1,155.4586572
0,6,949.59,0,0,0,3,0,122.3862953
2,7,509.38,0,1,0,0,1,128.0119403
2,6,888.47,1,1,0,2,0,142.3093658
2,9,747.74,0,1,0,2,0,89.53422947
2,7,770.67,0,1,0,3,1,137.0733828
3,5,634.83,1,1,1,3,0,185.9947397
2,8,605.21,0,0,1,2,1,131.2522734
3,4,695.24,0,1,0,0,1,120.9865506
1,2,694.55,0,1,1,1,1,139.8140162
3,5,798.92,1,1,1,2,1,151.582792
1,5,595.7,1,0,0,1,1,134.2791295
2,7,957.28,1,1,0,0,0,85.81306421
3,5,845.62,1,0,1,1,0,111.6014216
4,8,765.55,0,1,1,0,1,129.1433145
2,3,1063.48,0,1,0,1,1,128.5136837
1,6,950.08,0,1,1,2,0,127.8236423
1,4,733.47,0,1,0,2,1,123.1932261
1,5,889.54,0,1,1,2,0,93.40911442
2,6,931.66,1,0,1,1,0,148.5601277
1,9,879.67,0,1,0,1,0,79.22475026
1,2,768.1,0,0,0,2,1,128.4068198
3,6,891.78,1,1,0,1,0,121.7347698
2,5,742.32,1,1,1,1,1,159.1115983
1,1,965.07,0,1,1,2,0,95.35109332
0,6,686.45,1,1,0,1,0,155.1002354
1,5,961.91,1,1,0,0,0,111.1572548
2,5,1069.87,1,1,1,0,1,139.64102
3,8,867.34,1,1,1,1,0,130.142996
3,5,686.58,0,1,0,0,0,50.77819332
2,4,1015.45,0,1,0,1,1,117.2658017
1,2,669.69,1,1,1,0,0,86.66862904
2,3,626.42,1,1,1,0,1,135.7981369
1,3,1072,1,1,1,0,1,147.410094
2,4,865.04,1,1,1,0,1,132.0416399
1,4,688.98,0,1,1,2,1,149.8076821
1,5,785.52,0,1,1,0,1,123.6843384
2,0,797.67,1,1,1,2,0,177.4347918
4,4,846.15,0,1,0,0,1,106.6718196
2,4,773.2,0,1,0,1,1,131.5107693
2,9,998.93,0,1,1,0,1,117.1343822
4,5,868.58,0,1,0,2,0,92.74950031
2,7,751.99,0,1,1,1,0,85.78754149
2,2,666.58,1,1,1,1,0,127.4898826
2,5,901.61,1,1,1,1,1,161.1276991
2,4,902.76,0,1,0,1,1,119.8516644
2,2,796.83,0,0,1,0,1,120.7309266
3,5,642.72,0,1,0,0,0,42.78641788
2,4,832.37,0,1,1,2,0,127.2863109
2,5,988.29,1,1,1,2,1,177.6324199
1,6,682.29,1,1,1,0,0,119.734477
2,4,838.84,1,1,1,3,1,173.7985319
1,5,890.73,0,1,1,3,1,146.7837039
2,2,752.77,0,1,1,0,0,76.78699046
3,4,748.97,0,0,0,2,1,118.5850064
1,9,572.76,1,1,1,3,1,170.0275365
2,4,936.44,1,1,0,3,1,171.2805113
2,5,943.71,0,0,0,2,0,68.91463938
0,5,868.52,0,1,1,0,0,55.03638226
2,4,885.58,0,0,0,1,0,68.87439923
1,3,519.84,0,1,1,0,0,75.31870784
2,3,958.46,0,1,1,2,1,155.9181235
1,6,699.62,1,1,1,0,1,131.7311331
3,6,709.33,0,1,0,0,0,86.05560127
2,1,835.9,0,1,1,0,0,83.87479642
0,5,669.56,0,0,1,1,0,100.3581031
1,7,1090.44,0,0,0,1,1,131.9916501
1,8,535.6,1,1,1,0,0,140.1720594
3,7,771.06,1,1,1,0,0,114.2854098
2,4,1147.92,0,1,0,1,1,120.2729043
2,7,938.86,1,1,0,2,1,165.0526992
2,5,947.73,0,1,0,1,0,88.95991
3,6,848.71,0,1,0,0,1,100.5875985
3,6,958.96,0,1,0,2,1,126.3278726
2,4,687.94,0,1,1,1,0,96.28513519
3,5,811.93,0,1,1,0,0,70.69482063
1,3,988.94,0,1,1,1,1,119.5433085
2,3,703.79,0,1,0,0,1,100.9198647
4,3,534.57,1,1,1,2,0,169.2544814
3,4,878.4,0,1,0,1,1,121.436054
1,2,795.15,0,1,1,1,1,140.1352599
3,6,693.03,1,1,1,2,1,162.7743128
2,1,984.8,0,1,0,2,1,132.0622823
0,5,591.87,0,1,1,1,1,121.0872015
0,6,803.83,0,1,0,2,1,121.9540176
4,5,627.4,1,1,1,1,1,138.4724179
4,5,695.95,1,1,1,2,1,166.2194169
0,3,698.83,0,0,0,0,0,23.4481131
2,4,1106.99,0,1,0,1,1,119.6664891
1,5,702.04,0,0,0,1,1,107.0518029
3,6,695.68,0,0,1,0,0,42.28059978
-1,5,806.5,1,1,0,0,0,108.2338456
2,4,1111.85,1,1,1,1,1,152.5583723
1,3,966.98,1,1,0,0,0,123.8485486
3,7,696.91,0,0,1,1,0,94.54216923
3,3,720.13,1,0,1,2,0,170.0959845
1,5,793.79,1,1,0,1,1,155.3314156
2,2,830.26,0,1,0,1,1,122.6009678
5,5,1016.56,0,1,0,1,1,126.1773033
3,5,775.72,0,1,0,3,1,140.0669365
1,2,977.21,1,1,1,0,1,129.4693296
3,1,642.96,0,1,1,0,1,128.6644268
2,6,792.67,1,0,0,1,1,125.7927108
3,3,723.66,1,1,0,2,1,153.4234234
2,5,690.67,1,1,1,1,1,154.9754452
1,5,903.23,1,1,0,1,1,141.8179552
3,8,684.81,1,1,0,1,0,146.2454067
2,3,1004.21,0,0,0,0,0,40.14272702
0,2,795.29,1,1,0,2,0,161.5102417
3,3,835.89,1,1,1,2,0,160.7015333
3,3,786.47,0,0,0,1,1,105.6049597
3,1,714.14,1,1,0,0,1,123.2743673
3,7,699.63,1,1,0,2,1,157.87521
3,7,1130.5,0,1,0,1,0,101.8800669
1,5,929.73,1,1,1,0,0,120.8195449
1,9,834.03,1,0,1,1,1,148.6578742
2,6,674.74,1,1,0,1,0,117.0604726
2,6,733.45,0,0,1,1,1,135.3921079
0,1,974.21,0,1,1,1,0,107.5524219
3,4,941.85,1,1,1,2,0,158.2501379
3,5,732.97,0,1,1,1,1,127.7572443
1,4,663.37,0,1,0,1,0,94.59818752
0,4,699.81,0,0,1,1,1,132.1333115
2,2,1136,1,0,0,1,0,132.4043561
4,4,1041.18,0,1,0,0,1,103.9275847
3,5,773.02,0,0,1,2,0,91.03404399
3,5,1084.52,1,1,0,1,0,109.6771325
1,5,790.71,0,1,1,0,0,87.34106738
4,4,516.43,1,1,0,1,0,112.3540125
3,6,1057.52,1,1,0,1,0,126.3755285
2,2,760.93,0,1,0,1,1,119.1081046
2,8,807.56,1,1,0,0,1,134.9661761
2,3,1034.6,0,1,0,0,1,104.3084395
2,5,861.43,0,0,1,0,1,108.5450426
1,5,900.45,1,0,0,1,1,133.8436001
0,6,737.19,0,1,1,3,1,153.8079118
2,4,854.11,0,1,0,1,1,115.7377141
1,3,786.13,0,1,0,1,1,112.0123501
2,5,547.37,1,1,1,1,0,156.9377405
2,3,752.63,0,1,1,2,0,125.9352882
2,4,699.42,0,1,0,0,1,105.3208528
1,4,705.27,0,0,1,1,1,128.0304012
2,5,924.54,0,1,0,2,0,110.2924523
2,6,862.53,0,1,1,1,0,103.5167018
2,7,687.45,0,1,1,0,1,116.0339092
0,5,928.69,0,1,0,0,1,124.2456146
2,8,1018.86,1,1,1,2,1,166.2112072
3,7,786.75,0,1,1,1,1,134.4559599
1,2,924.05,1,0,1,1,0,129.8259965
3,5,579.46,1,1,0,0,1,131.4763309
3,5,831.08,0,1,0,1,0,103.0171454
2,4,717.39,1,1,1,1,0,113.7516601
3,4,640.71,1,1,0,1,0,137.7167413
4,6,691.92,1,0,1,1,1,139.3254979
1,4,893.34,0,0,1,1,0,104.4020456
1,7,904.79,1,1,0,0,1,145.2914037
1,5,699.25,1,1,0,2,1,163.6719205
3,7,643.43,1,1,0,0,1,139.749254
2,9,1113.99,1,1,0,2,0,146.4634473
1,5,735.06,0,1,0,0,0,85.81695113
1,3,808.19,0,1,0,0,1,109.8288619
1,4,755.02,0,1,1,2,1,133.2418534
0,2,764.65,1,1,0,1,1,150.9506712
1,5,571.11,0,1,1,2,0,134.9148435
1,6,986.3,0,1,1,0,0,104.5402194
2,5,726.25,1,1,0,0,1,144.9664086
0,9,856.15,0,1,0,1,1,115.6073405
3,8,698.03,0,0,0,0,1,113.6661304
1,5,846.64,1,1,1,2,1,166.3108269
3,4,679.48,0,1,0,2,1,143.0576017
3,1,767.12,1,1,0,1,0,122.8825565
3,5,650.6,0,1,0,0,1,114.079989
3,5,758.62,0,1,0,1,0,67.80602349
2,6,849.08,0,1,1,2,0,132.5890277
2,4,784.79,0,1,1,2,1,134.7873237
3,6,733.48,0,1,0,1,0,69.64603077
4,8,607.15,1,1,1,1,1,156.6234427
2,7,652.57,0,1,0,1,1,128.6684777
3,2,695.3,0,1,0,0,1,113.0819609
1,5,874.65,1,1,1,1,1,149.0043998
2,4,717.42,0,0,0,2,1,120.5787705
1,4,778.09,0,1,0,1,1,131.74645
2,7,932.1,0,1,1,2,0,120.0312411
1,4,622.28,0,0,0,1,0,82.91537584
2,4,755.57,0,1,1,1,1,131.0414945
1,5,869.58,0,1,1,0,1,114.3457696
1,4,630.91,0,0,1,0,1,108.897947
1,5,761.19,1,0,1,1,1,154.7386662
1,3,886.07,0,1,1,1,0,107.785104
